id,name,domain,predicate,j1_origin,j2_extension,p_remainder,gate_operator,gate_type,admissibility_change,output_class,root_cause,suggested_fix,fix_type,boat_candidate,measurables,evidence_refs,confidence,notes,created_by,created_at,updated_at,tags
P001_Russell,Russell's paradox,logic,unrestricted set formation,naive set comprehension,self-membership sets,none,self-referential membership,Gate,self-reference makes membership ill-formed,null,construction_error,introduce type hierarchy,hierarchy,n/a,type stratification checks,Frege|Russell|SEP Russell paradox,0.95,Classic Russell diagnosis,you,2026-07-22T00:00:00Z,2026-07-22T00:00:00Z,logic|paradox
P002_Liar,Liar paradox,logic|semantics,truth predicate inside same language,object language,self-referential sentence,none,self-evaluation of truth,Gate,bivalence/admissibility fails under self-reference,null,extension_error,separate meta-language or typed truth,retype,n/a,typed truth consistency,Tarski|SEP Liar paradox,0.90,Tarski style repair,you,2026-07-22T00:00:00Z,2026-07-22T00:00:00Z,logic|semantics
P003_Measure,Measurement problem,physics,treat amplitude as classical fact,quantum superposition,macroscopic record,POVM + Born weights,possibility-to-record mapping,Gate,semantic shift possibility-to-fact,transformed,extension_error,construct apparatus + classical register,construct_boat,apparatus pointer register,decoherence time|purity|I(p;outcome),Decoherence literature,0.90,Instrument plus register absorbs selection,you,2026-07-22T00:00:00Z,2026-07-22T00:00:00Z,physics|quantum
P004_Sorites,Sorites paradox,philosophy|logic,predicate heap,human vague classifier,grain-level analysis,graded threshold region,scale-to-precision mismatch,Gate,predicate loses precise licensing across scales,transformed,extension_error,retype to graded predicate,retype,n/a,threshold curve|classifier confidence,SEP Sorites paradox,0.85,Vagueness resolved by graded semantics,you,2026-07-22T00:00:00Z,2026-07-22T00:00:00Z,vagueness|language
P005_Ship,Ship of Theseus,metaphysics,same ship identity,narrative historical identity,material composition,functional continuity,identity criterion change,Gate,identity criterion mismatch across jurisdictions,split,extension_error,make identity jurisdiction explicit,other,legal or social continuity norms,survey of identity judgments,Classic Theseus refs,0.80,Pluralism often preferred,you,2026-07-22T00:00:00Z,2026-07-22T00:00:00Z,identity|metaphysics
P006_BH_Info,Black hole information,physics,information localization and unitarity,semiclassical spacetime,quantum gravity horizon regime,candidate soft hair or code subalgebra,localization ceases to be admissible,Gate,localization predicate fails at horizon,split,extension_error,identify minimal p or construct decoder or enlarge arena,construct_boat,hypothetical decoder,Page curve|entanglement entropy,Hawking|Page|AMPS,0.70,Active research with multiple candidate fixes,you,2026-07-22T00:00:00Z,2026-07-22T00:00:00Z,physics|quantumgravity
P007_SchrCat,Schrodinger's cat,physics|philosophy,alive dead as direct quantum predicate,micro quantum correlations,macroscopic organism identity,macro record remainder,micro-to-macro measurement map,Gate,quantum descriptors treated as direct biological identity,proxy-substituted,extension_error,retype predicates and include apparatus,retype,apparatus plus record,macro viability metrics|decoherence times,Thought experiment refs,0.85,Illustrative Gate vs Door case,you,2026-07-22T00:00:00Z,2026-07-22T00:00:00Z,physics|philosophy
P008_Godel,Godel incompleteness,math|logic,formal system proves all truths,formal proof system,self-referential arithmetic statements,arithmetization diagonalization,self-reference via coding,Gate,provability and truth bifurcate,split,construction_error,accept hierarchy and truth metalanguage separation,hierarchy,n/a,proof theoretic constraints,Godel 1931,0.95,Provability != external truth,you,2026-07-22T00:00:00Z,2026-07-22T00:00:00Z,math|logic
P009_Plankton,Plankton paradox,ecology,competitive exclusion expectation,simple resource models,observed coexistence,niche partitioning remainder,scaling and interaction change,Gate,coexistence predicates differ across scales,transformed,extension_error,introduce heterogeneity and niche structure,rebuild,niche mechanisms,species coexistence counts,Ecology refs,0.70,Classic ecological resolution route,you,2026-07-22T00:00:00Z,2026-07-22T00:00:00Z,ecology
P010_Consciousness,Hard problem of consciousness,philosophy|mind,objective description suffices for experience,third-person neural description,first-person experience,report behavior proxy,subjective objective frame mismatch,Gate,reports treated as identical to experience,proxy-substituted,extension_error,model cross-frame relations explicitly,retype,first-person protocols,report-experience divergence,Chalmers|Dennett discussions,0.65,Frame duality remains contested,you,2026-07-22T00:00:00Z,2026-07-22T00:00:00Z,consciousness|philosophy
